epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,311.68,0.61382,0.47241,0.98727,0.94775,0.89329,0.96779,0.75789,0.80841,0.45267,0.83866,0.00120491,0.00120491,0.00120491
72,316.135,0.60797,0.46428,0.99116,0.95759,0.84105,0.92041,0.64681,1.10638,0.61116,0.94489,0.00119831,0.00119831,0.00119831
73,320.37,0.63708,0.48715,0.99432,0.9564,0.8907,0.96437,0.77747,0.7458,0.45514,0.82999,0.0011917,0.0011917,0.0011917
74,324.823,0.60274,0.48031,0.99333,0.92975,0.8896,0.95187,0.6634,1.07209,0.55851,0.9258,0.0011851,0.0011851,0.0011851
75,329.179,0.60548,0.46998,0.99193,0.92588,0.85512,0.93922,0.69225,0.93375,0.63341,0.94581,0.0011785,0.0011785,0.0011785
76,333.693,0.60897,0.46175,0.98989,0.9451,0.78054,0.89138,0.7438,0.62277,0.59564,0.85541,0.0011719,0.0011719,0.0011719
77,338.075,0.60752,0.46987,0.99544,0.95095,0.88485,0.97058,0.75932,0.76088,0.48196,0.88032,0.0011653,0.0011653,0.0011653
78,342.487,0.58585,0.45352,0.98757,0.96246,0.89486,0.97152,0.72966,0.92528,0.48734,0.86794,0.0011587,0.0011587,0.0011587
79,346.676,0.58938,0.45741,0.98608,0.95724,0.89933,0.96792,0.77409,0.73375,0.44957,0.82513,0.0011521,0.0011521,0.0011521
80,351.075,0.59482,0.4667,0.98968,0.86768,0.75134,0.79396,0.46983,1.38774,0.94578,1.14716,0.0011455,0.0011455,0.0011455
81,355.367,0.58217,0.44756,0.98447,0.93426,0.9104,0.97243,0.80598,0.62017,0.4153,0.82002,0.00113889,0.00113889,0.00113889
82,359.847,0.57793,0.44922,0.98402,0.9477,0.89497,0.96655,0.69282,1.03567,0.52977,0.92279,0.00113229,0.00113229,0.00113229
83,364.269,0.58637,0.4518,0.98244,0.95589,0.81342,0.89504,0.70481,0.85462,0.60428,0.92346,0.00112569,0.00112569,0.00112569
84,368.561,0.58813,0.45287,0.98789,0.95733,0.81312,0.8794,0.64546,1.00523,0.67056,0.9422,0.00111909,0.00111909,0.00111909
85,373.035,0.58322,0.44312,0.98032,0.95977,0.88062,0.96476,0.73511,0.91903,0.48155,0.85712,0.00111249,0.00111249,0.00111249
86,377.569,0.58036,0.45167,0.97618,0.9579,0.89899,0.97669,0.81294,0.66956,0.41029,0.80476,0.00110589,0.00110589,0.00110589
87,381.774,0.5863,0.45473,0.98328,0.9503,0.91109,0.97938,0.82081,0.64486,0.39527,0.79273,0.00109929,0.00109929,0.00109929
88,386.045,0.55916,0.44742,0.97382,0.95798,0.89262,0.96988,0.83544,0.55562,0.4063,0.78492,0.00109269,0.00109269,0.00109269
89,390.437,0.58197,0.44816,0.97761,0.97388,0.83221,0.91939,0.72411,0.73639,0.58432,0.86335,0.00108608,0.00108608,0.00108608
90,394.606,0.58078,0.44893,0.9766,0.95307,0.92005,0.97596,0.82247,0.59773,0.40571,0.79308,0.00107948,0.00107948,0.00107948
91,399.024,0.5937,0.45055,0.98505,0.95338,0.90585,0.97141,0.75049,0.85599,0.4649,0.84799,0.00107288,0.00107288,0.00107288
92,403.649,0.57907,0.45206,0.98032,0.95564,0.83853,0.91822,0.77448,0.593,0.51312,0.81852,0.00106628,0.00106628,0.00106628
93,407.94,0.57181,0.44371,0.9788,0.965,0.85128,0.93619,0.73741,0.83557,0.51721,0.86435,0.00105968,0.00105968,0.00105968
94,412.415,0.57212,0.44524,0.98052,0.94738,0.86611,0.94955,0.6248,1.30792,0.59798,1.01996,0.00105308,0.00105308,0.00105308
95,416.798,0.57668,0.43967,0.97758,0.95036,0.90168,0.96859,0.78901,0.7157,0.43383,0.85072,0.00104648,0.00104648,0.00104648
96,421.04,0.56049,0.4371,0.9759,0.83726,0.751,0.81894,0.58159,0.99615,0.88722,1.02577,0.00103987,0.00103987,0.00103987
97,425.4,0.57124,0.42889,0.97548,0.94644,0.91141,0.97518,0.79242,0.72532,0.43011,0.82894,0.00103327,0.00103327,0.00103327
