epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
112,2744.74,0.42859,0.45704,0.93309,0.9658,0.96705,0.98827,0.95254,0.23566,0.29614,0.68086,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,2768.91,0.43521,0.45331,0.93701,0.96971,0.96633,0.98861,0.95209,0.23249,0.29399,0.68072,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
114,2792.91,0.43312,0.4581,0.93452,0.9697,0.96994,0.98883,0.95173,0.23457,0.28451,0.68184,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
115,2817.24,0.43367,0.45475,0.93597,0.97177,0.96764,0.98897,0.95321,0.24579,0.28509,0.68243,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,2842.04,0.43815,0.46562,0.93669,0.9701,0.96845,0.9888,0.95149,0.25101,0.28706,0.68517,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,2868.74,0.43238,0.45205,0.93373,0.97097,0.9678,0.989,0.95399,0.23378,0.28613,0.67895,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,2893.76,0.42711,0.45036,0.93189,0.97303,0.96602,0.98898,0.95468,0.23128,0.2847,0.67677,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,2918.03,0.42814,0.44898,0.93086,0.9712,0.96593,0.98867,0.95502,0.23654,0.2882,0.67599,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,2941.85,0.43191,0.45655,0.93606,0.97153,0.96868,0.9891,0.95581,0.23394,0.2836,0.67755,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
121,2966.13,0.42325,0.45168,0.93156,0.9738,0.96954,0.98932,0.95532,0.23657,0.28407,0.67846,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
122,2990.43,0.42757,0.44536,0.93093,0.97176,0.97117,0.98926,0.95649,0.23093,0.28668,0.67742,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042
123,3014.79,0.42141,0.45033,0.92764,0.97017,0.97034,0.98861,0.95657,0.23004,0.28926,0.67528,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
124,3039,0.42278,0.4448,0.93194,0.97588,0.96705,0.98922,0.95706,0.22575,0.28353,0.67375,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646
125,3062.85,0.41972,0.44721,0.93102,0.97155,0.97059,0.98893,0.95731,0.22518,0.28343,0.67397,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
126,3086.77,0.41882,0.45011,0.92839,0.97439,0.96915,0.98941,0.95783,0.22757,0.27559,0.67379,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
127,3111.4,0.42297,0.44809,0.93249,0.97395,0.97052,0.98954,0.95774,0.22334,0.27318,0.67395,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
