epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,296.526,0.52667,0.42596,0.96595,0.95746,0.93847,0.98155,0.87267,0.44439,0.3532,0.75914,0.000528272,0.000528272,0.000528272
71,301.113,0.50864,0.41463,0.95368,0.95185,0.94764,0.98471,0.8633,0.51382,0.34839,0.7714,0.000511769,0.000511769,0.000511769
72,305.23,0.52546,0.42197,0.95857,0.94395,0.90218,0.96099,0.8049,0.62029,0.43301,0.80502,0.000495266,0.000495266,0.000495266
73,309.566,0.52399,0.40579,0.95833,0.94601,0.92712,0.97468,0.86963,0.48316,0.37069,0.76396,0.000478762,0.000478762,0.000478762
74,313.603,0.51686,0.41982,0.95843,0.94741,0.9244,0.97693,0.84341,0.49602,0.37472,0.773,0.000462259,0.000462259,0.000462259
75,318.005,0.52062,0.41507,0.95719,0.95434,0.93672,0.98311,0.87764,0.43521,0.33735,0.75686,0.000445756,0.000445756,0.000445756
76,322.285,0.50784,0.4037,0.95649,0.94235,0.93648,0.9795,0.87918,0.41637,0.3413,0.75433,0.000429253,0.000429253,0.000429253
77,326.323,0.48983,0.40652,0.95274,0.95181,0.93915,0.98267,0.8485,0.54626,0.35149,0.76536,0.000412749,0.000412749,0.000412749
78,330.411,0.51311,0.41626,0.95886,0.96693,0.93435,0.98392,0.87176,0.44822,0.32139,0.75913,0.000396246,0.000396246,0.000396246
79,334.711,0.49608,0.40367,0.95126,0.95039,0.94271,0.98489,0.88302,0.44539,0.3337,0.75032,0.000379743,0.000379743,0.000379743
80,338.723,0.50852,0.39883,0.95797,0.94793,0.94076,0.98338,0.89562,0.38924,0.32127,0.74652,0.000363239,0.000363239,0.000363239
81,342.665,0.50552,0.40207,0.9547,0.94483,0.94739,0.9834,0.88401,0.42286,0.32554,0.74908,0.000346736,0.000346736,0.000346736
82,346.701,0.488,0.39879,0.9534,0.95309,0.95018,0.98519,0.87779,0.49246,0.33672,0.76012,0.000330233,0.000330233,0.000330233
83,350.911,0.49709,0.40586,0.95283,0.94842,0.9431,0.98224,0.89036,0.40102,0.32497,0.74903,0.000313729,0.000313729,0.000313729
84,355.059,0.48173,0.39534,0.94832,0.9535,0.94934,0.98556,0.88223,0.41817,0.32221,0.75599,0.000297226,0.000297226,0.000297226
85,359.196,0.48045,0.38868,0.94685,0.96642,0.93336,0.98532,0.89969,0.41368,0.31891,0.73483,0.000280723,0.000280723,0.000280723
86,363.129,0.47653,0.3927,0.94952,0.95467,0.95203,0.98645,0.90144,0.39493,0.29976,0.73844,0.00026422,0.00026422,0.00026422
87,367.51,0.46227,0.39033,0.93975,0.95487,0.9431,0.98595,0.87257,0.48137,0.32235,0.75886,0.000247716,0.000247716,0.000247716
88,371.443,0.46858,0.39277,0.94557,0.95701,0.94556,0.9862,0.90746,0.35929,0.29691,0.72888,0.000231213,0.000231213,0.000231213
89,375.634,0.46235,0.37754,0.9395,0.95291,0.94633,0.98658,0.90581,0.37929,0.30125,0.72917,0.00021471,0.00021471,0.00021471
90,379.735,0.46195,0.3861,0.94286,0.95186,0.94505,0.98527,0.91017,0.36191,0.30224,0.72491,0.000198206,0.000198206,0.000198206
91,384.501,0.42652,0.33318,0.90983,0.95018,0.94739,0.98617,0.89442,0.43353,0.33376,0.73359,0.000181703,0.000181703,0.000181703
92,388.576,0.41279,0.31564,0.9007,0.94494,0.94973,0.98527,0.90089,0.38758,0.30418,0.73016,0.0001652,0.0001652,0.0001652
93,392.573,0.39033,0.30528,0.88068,0.96193,0.94583,0.98684,0.90553,0.36816,0.30091,0.73051,0.000148696,0.000148696,0.000148696
94,396.798,0.38115,0.29732,0.88109,0.95734,0.95333,0.98757,0.90676,0.37971,0.29694,0.73134,0.000132193,0.000132193,0.000132193
95,401.333,0.38502,0.2954,0.88631,0.96375,0.93236,0.98469,0.89543,0.39285,0.31509,0.73731,0.00011569,0.00011569,0.00011569
96,405.621,0.38888,0.29603,0.88491,0.95522,0.9559,0.9877,0.91482,0.36389,0.28551,0.7192,9.91865e-05,9.91865e-05,9.91865e-05
97,409.955,0.36731,0.29008,0.87712,0.96184,0.95291,0.98856,0.91453,0.3464,0.27836,0.72395,8.26832e-05,8.26832e-05,8.26832e-05
98,413.933,0.36776,0.28669,0.8845,0.95895,0.95051,0.98739,0.91148,0.36983,0.28593,0.72303,6.61799e-05,6.61799e-05,6.61799e-05
99,417.924,0.36496,0.28717,0.87704,0.96138,0.95323,0.98779,0.91584,0.36392,0.28326,0.71965,4.96766e-05,4.96766e-05,4.96766e-05
100,421.958,0.3593,0.28235,0.87555,0.95321,0.95752,0.9877,0.91596,0.34451,0.27646,0.72079,3.31733e-05,3.31733e-05,3.31733e-05
